quarter_year,PRODUK DOMESTIK BRUTO,"1.  Pertanian, Peternakan, Kehutanan dan Perikanan",Tanaman Bahan Makanan,Tanaman Perkebunan,Peternakan dan Hasil Hasilnya,Kehutanan,Perikanan,2.  Pertambangan dan Penggalian,Minyak dan Gas Bumi,Tanpa Migas,Penggalian,3.  Industri Pengolahan,Migas,Industri Tanpa Migas,"4.  Listrik, Gas dan Air Minum",5.  Bangunan,"6.  Perdagangan, Hotel dan Restoran",Hotel,Restoran,7.  Pengangkutan dan Komunikasi,Pengangkutan,Komunikasi,"8.  Keuangan, Persewaan dan Jasa Perusahaan",Bank,Lembaga Keuangan Bukan Bank,Jasa Penunjang Keuangan,Sewa Bangunan,Jasa Perusahaan,9.  Jasa-Jasa,Pemerintahan Umum,Swasta
Q2_2001,"372.088,13","60.848,45","31.649,40","9.193,77","7.657,08","3.892,11","8.456,07","57.012,89","39.897,79","13.729,56","3.385,53","92.417,20","14.476,53","77.940,67","5.084,82","21.402,87","58.867,28","1.873,64","9.463,55","17.709,40","13.730,87","3.978,53","23.414,13","8.462,81","2.144,59","185,86","7.750,04","4.870,83","35.331,09","20.092,40","15.238,69"
Q3_2001,"375.471,81","64.306,59","32.122,71","12.508,46","7.115,93","4.033,76","8.525,73","46.966,66","31.992,06","11.334,89","3.639,71","95.882,77","13.877,42","82.005,35","5.880,39","20.851,31","59.688,30","1.966,64","9.630,95","19.197,55","15.066,37","4.131,18","24.371,72","8.887,60","2.148,84","184,29","8.045,40","5.105,59","38.326,53","22.404,26","15.922,27"
Q4_2001,"367.829,28","56.833,61","25.388,91","9.176,51","8.302,42","3.770,68","10.195,09","41.154,35","26.957,73","10.328,06","3.868,56","97.158,93","13.666,59","83.492,34","6.467,54","22.378,96","60.457,57","2.026,66","10.201,50","20.036,86","15.711,16","4.325,70","24.551,58","8.651,33","2.208,13","188,08","8.251,99","5.252,05","38.789,89","22.555,08","16.234,81"
Q1_2002,"388.571,57","70.381,71","41.977,26","7.123,12","8.502,90","3.813,26","8.965,17","41.636,59","28.327,80","9.395,57","3.913,22","99.471,25","13.613,36","85.857,89","6.796,88","22.961,35","63.519,18","2.045,70","10.682,82","19.999,80","14.884,09","5.115,71","26.658,15","9.635,00","2.309,80","190,61","9.172,77","5.349,97","37.146,66","20.124,97","17.021,69"
Q2_2002,"396.873,62","70.145,79","37.606,22","10.446,39","8.555,49","4.216,71","9.320,98","42.784,74","28.443,77","10.257,33","4.083,65","100.746,97","14.212,89","86.534,07","7.304,98","23.057,21","65.639,14","2.055,60","10.945,56","22.540,92","16.183,18","6.357,74","27.015,24","9.773,29","2.368,92","195,78","9.134,45","5.542,80","37.638,63","20.116,47","17.522,16"
Q3_2002,"413.534,15","72.671,14","35.206,99","14.005,89","8.827,82","4.432,12","10.198,32","46.322,87","28.730,41","13.264,91","4.327,56","103.956,97","15.472,24","88.484,74","7.912,92","23.282,12","67.349,53","2.274,30","11.171,46","24.636,90","17.959,29","6.677,61","27.894,50","10.259,86","2.388,44","197,33","9.342,38","5.706,49","39.507,21","21.392,26","18.114,95"
Q4_2002,"411.585,60","62.072,73","26.620,75","10.435,04","9.235,49","4.490,80","11.290,65","47.452,89","31.248,74","11.697,98","4.506,17","105.491,13","16.700,65","88.790,48","8.477,37","24.665,45","69.027,26","2.258,40","11.590,33","25.619,03","18.661,23","6.957,80","28.590,05","10.357,71","2.458,88","195,73","9.629,09","5.948,64","40.189,70","21.659,76","18.529,94"
Q1_2003,"442.734,64","79.314,03","46.011,87","8.694,89","9.747,48","4.578,78","10.281,01","48.807,44","33.358,34","10.793,60","4.655,50","110.481,75","18.419,06","92.062,69","8.800,05","25.730,19","71.031,03","2.256,30","12.055,70","25.982,66","18.932,37","7.050,29","30.495,12","11.046,22","2.539,59","198,55","10.667,73","6.043,03","42.092,37","22.040,91","20.051,46"
Q2_2003,"438.257,31","74.260,09","38.152,75","11.236,72","9.610,81","4.642,67","10.617,15","44.735,73","28.028,70","11.886,46","4.820,57","109.034,53","16.229,33","92.805,20","9.388,72","26.575,46","72.094,11","2.237,40","12.431,40","27.198,05","19.827,68","7.370,37","30.490,19","10.909,91","2.558,65","203,05","10.727,27","6.091,31","44.480,43","23.908,26","20.572,17"
Q3_2003,"454.168,69","78.152,77","37.554,03","14.762,60","9.558,67","4.855,59","11.421,88","46.912,29","29.374,98","12.461,79","5.075,52","110.689,51","16.570,81","94.118,70","10.359,53","26.698,29","73.823,60","2.227,60","12.675,40","28.217,56","20.366,87","7.850,69","30.874,38","10.982,96","2.609,87","211,74","10.845,63","6.224,18","48.440,76","26.972,73","21.468,03"
Q4_2003,"451.530,29","64.510,60","24.631,03","12.355,24","10.126,12","4.924,46","12.473,75","50.721,47","32.881,08","12.473,29","5.367,10","110.246,03","16.884,53","93.361,50","11.117,15","28.114,87","74.641,02","2.222,60","13.091,42","30.329,42","21.909,40","8.420,02","31.141,02","10.744,65","2.705,17","219,48","11.154,52","6.317,20","50.708,71","28.683,73","22.024,98"
